INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
50321302	5	3	21	302	Gemzhuoke_1	1	#cff9900红冥晶石(3级·2级)	琢刻了纯净红晶石后的红冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#W可在洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处进行#G琢刻分离#W。#r#G琢刻后的宝石无法进行合成操作#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF66	胜利宝石	33	2004	1
50321303	5	3	21	303	Gemzhuoke_1	1	#cff9900红冥晶石(3级·3级)	琢刻了纯净红晶石后的红冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#W可在洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处进行#G琢刻分离#W。#r#G琢刻后的宝石无法进行合成操作#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF66	胜利宝石	33	2004	1
50321401	5	3	21	401	Gemzhuoke_10	1	#cff9900绿冥晶石(3级·1级)	琢刻了纯净绿晶石后的绿冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#W可在洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处进行#G琢刻分离#W。#r#G琢刻后的宝石无法进行合成操作#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	FFFFFF66	胜利宝石	34	2004	1
50321402	5	3	21	402	Gemzhuoke_10	1	#cff9900绿冥晶石(3级·2级)	琢刻了纯净绿晶石后的绿冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#W可在洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处进行#G琢刻分离#W。#r#G琢刻后的宝石无法进行合成操作#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	FFFFFF66	胜利宝石	34	2004	1
50321403	5	3	21	403	Gemzhuoke_10	1	#cff9900绿冥晶石(3级·3级)	琢刻了纯净绿晶石后的绿冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#W可在洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处进行#G琢刻分离#W。#r#G琢刻后的宝石无法进行合成操作#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	FFFFFF66	胜利宝石	34	2004	1
																																																																															
50401001	5	4	1	1	Gem3_2_4	1	猫眼石(4级)	象猫眼一样的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G希望宝石	50000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	738	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	希望宝石	1	2004	1
50401002	5	4	1	2	Gem3_1_1	1	虎眼石(4级)	象虎眼一样的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G希望宝石	50000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	738	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	希望宝石	2	2004	1
50402001	5	4	2	1	Gem3_1_3	1	黄晶石(4级)	黄色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	3	2004	1
50402002	5	4	2	2	Gem3_1_4	1	蓝晶石(4级)	蓝色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	4	2004	1
50402003	5	4	2	3	Gem3_1_5	1	红晶石(4级)	红色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	5	2004	1
50402004	5	4	2	4	Gem3_1_6	1	绿晶石(4级)	绿色的晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	6	2004	1
50402005	5	4	2	5	Gem3_2_5	1	纯净黄晶石(4级)	纯净的黄晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r#cff9900雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	14	2004	1
50402006	5	4	2	6	Gem3_2_9	1	纯净蓝晶石(4级)	纯净的蓝晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r#cff9900雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	15	2004	1
50402007	5	4	2	7	Gem3_2_13	1	纯净红晶石(4级)	纯净的红晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r#cff9900雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	16	2004	1
50402008	5	4	2	8	Gem3_2_6	1	纯净绿晶石(4级)	纯净的绿晶石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G智慧宝石#r#cff9900雕琢过的宝石不能再雕琢。#r#W使用三颗此种宝石，和一个#G宝石熔炼符#W，能够熔炼成一颗对应的同等级胜利宝石。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	智慧宝石	17	2004	1
50403001	5	4	3	1	Gem3_1_2	1	紫玉(4级)	紫色玉石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G玄微宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	玄微宝石	7	2004	1
50404002	5	4	4	2	Gem3_1_8	1	变石(4级)	在阳光下呈绿色，在烛光下呈红色，可变色的宝石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G幻冥宝石	250000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	幻冥宝石	8	2004	1
50411001	5	4	11	1	Gem3_1_9	1	石榴石(4级)	因其外形酷似成熟的石榴籽而得名的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G生命宝石	50000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	734	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	生命宝石	7	2004	1
50411002	5	4	11	2	Gem3_1_12	1	尖晶石(4级)	颜色繁多且艳丽的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G生命宝石	50000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	734	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	生命宝石	11	2004	1
50412001	5	4	12	1	Gem3_1_11	1	黄玉(4级)	黄色的玉石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	魅力宝石	12	2004	1
50412002	5	4	12	2	Gem3_1_10	1	皓石(4级)	闪闪发亮的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	魅力宝石	2	2004	1
50412003	5	4	12	3	Gem3_1_13	1	月光石(4级)	具淡蓝色的晕彩，如同朦胧的月光的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	魅力宝石	4	2004	1
50412004	5	4	12	4	Gem3_2_1	1	碧玺(4级)	颜色繁多且艳丽的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#W#r可在#G洛阳（179，182）#R宝石工匠彭怀玉#W处使用#G4级宝石雕琢符#W提升宝石属性。#r#cff9900本宝石只能雕琢一次。	150000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	魅力宝石	3	2004	1
50412005	5	4	12	5	Gem3_2_10	1	纯净黄玉(4级)	纯净的黄玉，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r#cff9900雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	魅力宝石	16	2004	1
50412006	5	4	12	6	Gem3_2_14	1	纯净皓石(4级)	纯净的皓石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r#cff9900雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	魅力宝石	17	2004	1
50412007	5	4	12	7	Gem3_2_11	1	纯净月光石(4级)	纯净的月光石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r#cff9900雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	魅力宝石	15	2004	1
50412008	5	4	12	8	Gem3_2_15	1	纯净碧玺(4级)	纯净的碧玺，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G魅力宝石#r#cff9900雕琢过的宝石不能再雕琢。	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	魅力宝石	14	2004	1
50413001	5	4	13	1	Gem3_1_15	1	黄宝石(4级)	黄色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	5	2004	1
50413002	5	4	13	2	Gem3_1_16	1	蓝宝石(4级)	蓝色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	6	2004	1
50413003	5	4	13	3	Gem3_1_7	1	绿宝石(4级)	绿色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	9	2004	1
50413004	5	4	13	4	Gem3_2_2	1	红宝石(4级)	红色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	10	2004	1
50413005	5	4	13	5	Gem3_2_3	1	黑宝石(4级)	黑色的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	1	2004	1
50413006	5	4	13	6	Gem3_2_7	1	血精石(4级)	布满血丝红精的宝石，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G命运宝石	75000	1000	4180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	命运宝石	13	2004	1
50414001	5	4	14	1	Gem3_1_14	1	祖母绿(4级)	翠绿如滴，顶级翡翠，可以镶嵌在防御性装备(衣服、手套、帽子、护肩、鞋、腰带、项链、暗器)上，使用后不可再镶嵌同类宝石。#r#G天机宝石	100000	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	273	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	FFFFFF4C	天机宝石	8	2004	1
50421001	5	4	21	1	Gemjiankang_2	1	黄冥石(4级)	黄色的冥石，可以镶嵌在攻击性装备(武器、护腕、戒指、护符、项链、暗器、武魂、百宝囊、百宝箱、坐骑)上，使用后不可再镶嵌同类宝石。#r#G无法将目标的抗性降低至负值#r#G胜利宝石	300000	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	FFFFFF7F	胜利宝石	31	2004	1
